time;2001;2002;2003;2004;2005
52;0.03;0.04;0.02;0.0275;0.0275
53;0.03;0.04;0.02;0.0275;0.0275
54;0.03;0.04;0.02;0.0275;0.0275
55;0.03;0.04;0.02;0.0275;0.0275
56;0.03;0.04;0.02;0.0275;0.0275
57;0.03;0.04;0.02;0.0275;0.0275
58;0.03;0.04;0.02;0.0275;0.0275
59;0.03;0.04;0.02;0.0275;0.0275
60;0.03;0.04;0.02;0.0275;0.0275
61;0.03;0.04;0.02;0.0275;0.0275
62;0.03;0.04;0.02;0.0275;0.0275
63;0.03;0.04;0.02;0.0275;0.0275
64;0.03;0.04;0.02;0.0275;0.0275
65;0.03;0.04;0.02;0.0275;0.0275
66;0.03;0.04;0.02;0.0275;0.0275
67;0.03;0.04;0.02;0.0275;0.0275
68;0.03;0.04;0.02;0.0275;0.0275
69;0.03;0.04;0.02;0.0275;0.0275
70;0.03;0.04;0.02;0.0275;0.0275
71;0.03;0.04;0.02;0.0275;0.0275
72;0.03;0.04;0.02;0.0275;0.0275
73;0.03;0.04;0.02;0.0275;0.0275
74;0.03;0.04;0.02;0.0275;0.0275
75;0.03;0.04;0.02;0.0275;0.0275
76;0.03;0.04;0.02;0.0275;0.0275
77;0.03;0.04;0.02;0.0275;0.0275
78;0.03;0.04;0.02;0.0275;0.0275
79;0.03;0.04;0.02;0.0275;0.0275
80;0.03;0.04;0.02;0.0275;0.0275
81;0.03;0.04;0.02;0.0275;0.0275
82;0.03;0.04;0.02;0.0275;0.0275
83;0.03;0.04;0.02;0.0275;0.0275
84;0.03;0.04;0.02;0.0275;0.0275
85;0.03;0.04;0.02;0.0275;0.0275
86;0.03;0.04;0.02;0.0275;0.0275
87;0.03;0.04;0.02;0.0275;0.0275
88;0.03;0.04;0.02;0.0275;0.0275
89;0.03;0.04;0.02;0.0275;0.0275
90;0.03;0.04;0.02;0.0275;0.0275
91;0.03;0.04;0.02;0.0275;0.0275
92;0.03;0.04;0.02;0.0275;0.0275
93;0.03;0.04;0.02;0.0275;0.0275
94;0.03;0.04;0.02;0.0275;0.0275
95;0.03;0.04;0.02;0.0275;0.0275
96;0.03;0.04;0.02;0.0275;0.0275
97;0.03;0.04;0.02;0.0275;0.0275
98;0.03;0.04;0.02;0.0275;0.0275
99;0.03;0.04;0.02;0.0275;0.0275
100;0.03;0.04;0.02;0.0275;0.0275
101;0.03;0.04;0.02;0.0275;0.0275
102;0.03;0.04;0.02;0.0275;0.0275
103;0.03;0.04;0.02;0.0275;0.0275
104;0.03;0.04;0.02;0.0275;0.0275
105;0.03;0.04;0.02;0.0275;0.0275
106;0.03;0.04;0.02;0.0275;0.0275
107;0.03;0.04;0.02;0.0275;0.0275
108;0.03;0.04;0.02;0.0275;0.0275
109;0.03;0.04;0.02;0.0275;0.0275
110;0.03;0.04;0.02;0.0275;0.0275
111;0.03;0.04;0.02;0.0275;0.0275
112;0.03;0.04;0.02;0.0275;0.0275
113;0.03;0.04;0.02;0.0275;0.0275
114;0.03;0.04;0.02;0.0275;0.0275
115;0.03;0.04;0.02;0.0275;0.0275
116;0.03;0.04;0.02;0.0275;0.0275
117;0.03;0.04;0.02;0.0275;0.0275
118;0.03;0.04;0.02;0.0275;0.0275
119;0.03;0.04;0.02;0.0275;0.0275
120;0.03;0.04;0.02;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
;;;;0.0275;0.0275
