time;2001;2002;2003;2004;2005
99;0.03;0.04;0.02;0.0375;0.0375
100;0.03;0.04;0.02;0.0375;0.0375
101;0.03;0.04;0.02;0.0375;0.0375
102;0.03;0.04;0.02;0.0375;0.0375
103;0.03;0.04;0.02;0.0375;0.0375
104;0.03;0.04;0.02;0.0375;0.0375
105;0.03;0.04;0.02;0.0375;0.0375
106;0.03;0.04;0.02;0.0375;0.0375
107;0.03;0.04;0.02;0.0375;0.0375
108;0.03;0.04;0.02;0.0375;0.0375
109;0.03;0.04;0.02;0.0375;0.0375
110;0.03;0.04;0.02;0.0375;0.0375
111;0.03;0.04;0.02;0.0375;0.0375
112;0.03;0.04;0.02;0.0375;0.0375
113;0.03;0.04;0.02;0.0375;0.0375
114;0.03;0.04;0.02;0.0375;0.0375
115;0.03;0.04;0.02;0.0375;0.0375
116;0.03;0.04;0.02;0.0375;0.0375
117;0.03;0.04;0.02;0.0375;0.0375
118;0.03;0.04;0.02;0.0375;0.0375
119;0.03;0.04;0.02;0.0375;0.0375
120;0.03;0.04;0.02;0.0375;0.0375
