Tariff;BEB;BJB;NEB;NJB;Dka;DKb;DKc
LEV/2000;;;;;;;
TLEV/2000;;;;;;;
LEM4/2000;;;;;;;
TLEM4/2000;;;;;;;
LEM5/2000;;;;;;;
TLEM5/2000;;;;;;;
LEMB/2000;;;;;;;
LEMV4/2000;;;;;;;
LEF/2000;;;;;;;
TLEF/2000;;;;;;;
LEH/2000;;;;;;;
TLEH/2000;;;;;;;
LET/2000;;;;;;;
TLET/2000;;;;;;;
LEVB/2000;;;;;;;
LEM4VB/2000;;;;;;;
LEM5VB/2000;;;;;;;
LE/98;;;;;;;
HLE/98;;;;;;;
SLE/98;;;;;;;
LEEB/98;;;;;;;
LEV/98;;;;;;;
HLEV/98;;;;;;;
LEM1/98;;;;;;;
LEM2/98;;;;;;;
LEM4/98;;;;;;;
HLEM4/98;;;;;;;
LEM5/98;;;;;;;
LEMV/98;;;;;;;
LEMV4/98;;;;;;;
LEMV5/98;;;;;;;
LEF/98;;;;;;;
LET/98;;;;;;;
HLET/98;;;;;;;
LETEB/98;;;;;;;
LEH/98;;;;;;;
LEFPR�SENT/2002;;;;;;;
TLEFPR�SENT2002;;;;;;;
LE/2004;;;;;;;
HLE/2004;;;;;;;
TLE/2004;;;;;;;
SLE/2004;;;;;;;
LEEB/2004;;;;;;;
LEV/2004;;;;;;;
TLEV/2004;;;;;;;
LEM5/2004;;;;;;;
TLEM5/2004;;;;;;;
LET/2004;;;;;;;
TLET/2004;;;;;;;
LEF/2004;;;;;;;
TLEF/2004;;;;;;;
LEFPR�SENT/2004;;;;;;;
TLEFPR�SENT2004;;;;;;;
LEVB/2004;;;;;;;
PA11/2004;;;;;;;
PA10/2004;;;;;;;
LE/2005;;;;;;;
HLE/2005;;;;;;;
SLE/2005;;;;;;;
TLE/2005;;;;;;;
LEEB/2005;;;;;;;
LEV/2005;;;;;;;
LEM5/2005;;;;;;;
LET/2005;;;;;;;
TLET/2005;;;;;;;
LETEB/2005;;;;;;;
LEF/2005;;;;;;;
TLEF/2005;;;;;;;
LEFPR�SENT/2005;;;;;;;
TLEFPR�SENT2005;;;;;;;
LEVB/2005;;;;;;;
PA11/2005;;;;;;;
PA10/2005;;;;;;;
LE/2007;;;;;;;
SLE/2007;;;;;;;
TLE/2007;;;;;;;
HLE/2007;;;;;;;
SLES/2007;;;;;;;
LET/2007;;;;;;;
LEF/2007;;;;;;;
LEVB/2007;;;;;;;
LE/2008;;;;;;;
HLE/2008;;;;;;;
SLE/2008;;;;;;;
TLE/2008;;;;;;;
LET/2008;;;;;;;
SLET/2008;;;;;;;
LEF/2008;;;;;;;
HPKR/2006;;;;;;;
NPKR/2006;;;;;;;
SPKR/2006;;;;;;;
SPKR-K100/2006;;;;;;;
SPKR-K50/2006;;;;;;;
PKR/2008;;;;;;;
SPKR/2008;;;;;;;
HPKR/2008;;;;;;;
AL/72008;;;;;;;
ARR/72008;;;;;;;
ARR/2009;;;;;;;
HARR/2009;;;;;;;
SARR/2009;;;;;;;
TARR/2009;;;;;;;
AL/2010;;;;;;;
HAL/2010;;;;;;;
ARRL/2010;;;;;;;
HARRL/2010;;;;;;;
ARR-ST/72008;;;;;;;
ARRL/72008;;;;;;;
ARZ/72008;;;;;;;
ARZ-ST/72008;;;;;;;
HAL/72008;;;;;;;
HA/72008;;;;;;;
HARR-ST/72008;;;;;;;
SARR/72008;;;;;;;
SARR-ST/72008;;;;;;;
TARR/72008;;;;;;;
TARR-ST/72008;;;;;;;
HARR/72008;;;;;;;
SARZ/72008;;;;;;;
SARZ-ST/72008;;;;;;;
TARZ/72008;;;;;;;
TARZ-ST/72008;;;;;;;
HARZ/72008;;;;;;;
HARZ-ST/72008;;;;;;;
SARRL/72008;;;;;;;
HARRL/72008;;;;;;;
SLZ/72008;;;;;;;
HLZ/72008;;;;;;;
HLZF/72008;;;;;;;
SLR/72008;;;;;;;
HLR/72008;;;;;;;
SLRW1/72008;;;;;;;
SPKR-K100/72008;;;;;;;
SPKR-K50/72008;;;;;;;
LR/72008;;;;;;;
LZ/72008;;;;;;;
AL/2007;;;;;;;
ARR/2007;;;;;;;
ARRL/2007;;;;;;;
ARZ/2007;;;;;;;
APRR/2007;;;;;;;
LR/2007;;;;;;;
LZ/2007;;;;;;;
HA/2007;;;;;;;
SLRW1/2007;;;;;;;
HARR/2007;;;;;;;
SARR/2007;;;;;;;
TARR/2007;;;;;;;
HARRL/2007;;;;;;;
SARRL/2007;;;;;;;
SARZ/2007;;;;;;;
HARZ/2007;;;;;;;
TARZ/2007;;;;;;;
HLZ/2007;;;;;;;
SLZ/2007;;;;;;;
SPKR-K100/2007;;;;;;;
SPKR-K50/2007;;;;;;;
HLZF1/2012;;;;;;;
HLZF2/2012;;;;;;;
HLRF1/2012;;;;;;;
HLRLF/2012;;;;;;;
HLRLF1/2012;;;;;;;
HLRLF2/2012;;;;;;;
PKR/72008;;;;;;;
SPKR/72008;;;;;;;
HPKR/72008;;;;;;;
PKR/2007;;;;;;;
SPKR/2007;;;;;;;
HPKR/2007;;;;;;;
AL/2008;;;;;;;
ARR/2008;;;;;;;
ARR-ST/2008;;;;;;;
ARRL/2008;;;;;;;
ARZ/2008;;;;;;;
ARZ-ST/2008;;;;;;;
LR/2008;;;;;;;
LZ/2008;;;;;;;
HARR-ST/2008;;;;;;;
HARR/2008;;;;;;;
SARR/2008;;;;;;;
SARR-K50/2008;;;;;;;
SARR-ST/2008;;;;;;;
TARR/2008;;;;;;;
TARR-ST/2008;;;;;;;
HA/2008;;;;;;;
SARRL/2008;;;;;;;
SPKR-K100/2008;;;;;;;
HARZ/2008;;;;;;;
SARZ/2008;;;;;;;
SARZ-ST/2008;;;;;;;
TARZ/2008;;;;;;;
TARZ-ST/2008;;;;;;;
SLR/2008;;;;;;;
SLRW1/2008;;;;;;;
HLZ/2008;;;;;;;
ARR/90;;;;;;;
ARG/90;;;;;;;
LR/90;;;;;;;
ARR/ERL/90;;;;;;;
AR/90;;;;;;;
L/90;;;;;;;
A/90;;;;;;;
ARR/ERL/RFZ/90;;;;;;;
ARR/VAR/90;;;;;;;
LG/90;;;;;;;
FP3G/90;;;;;;;
P3G/90;;;;;;;
P1Z/90;;;;;;;
P1G/90;;;;;;;
P3G/90NEU;;;;;;;
P1Z/90NEU;;;;;;;
P2G/90;;;;;;;
P2G/90NEU;;;;;;;
P3Z/90;;;;;;;
P1G/90NEU;;;;;;;
P2/90;;;;;;;
P3Z/90NEU;;;;;;;
P3G_RAB/90;;;;;;;
P2/90NEU;;;;;;;
A/84;;;;;;;
AR/84;;;;;;;
ARR/84;;;;;;;
ARZ/84;;;;;;;
L/84;;;;;;;
LR/84;;;;;;;
LZ/84;;;;;;;
PKR1/2003;;;;;;;
PKR2/2003;;;;;;;
AR/99;;;;;;;
ARR/99;;;;;;;
ARZ/99;;;;;;;
HA/99;;;;;;;
HL/99;;;;;;;
HLR/99;;;;;;;
HLZ/99;;;;;;;
L/99;;;;;;;
LR/99;;;;;;;
LV/99;;;;;;;
LZ/99;;;;;;;
SAR/99;;;;;;;
SARR/99;;;;;;;
SARZ/99;;;;;;;
SLR/99;;;;;;;
SLV/99;;;;;;;
SLZ/99;;;;;;;
P12G/97;;;;;;;
P30G/97;;;;;;;
P31G/97;;;;;;;
P32G/97;;;;;;;
P3A2G/97;;;;;;;
P3E0G/97;;;;;;;
P3E1G/97;;;;;;;
P3E2G/97;;;;;;;
P30Z/97;;;;;;;
P31Z/97;;;;;;;
P32Z/97;;;;;;;
P3E0Z/97;;;;;;;
P3E2Z/97;;;;;;;
LR/95;;;;;;;
L/94;;;;;;;
LR/94;;;;;;;
LG/94;;;;;;;
APRR/94;;;;;;;
SAPRR/94;;;;;;;
HAPRR/94;;;;;;;
ARR/94;;;;;;;
ARR/ERL/RFZ/94;;;;;;;
ARR/ERL/94;;;;;;;
ARR/VAR/94;;;;;;;
A/94;;;;;;;
ARG/94;;;;;;;
AR/94;;;;;;;
